Pos: x: 1.34266 y: 1.57026 z: -2.96079 | UV: x:0.769334 y: 0.935337 | Normal: x:0 y: 0.587785 z: -0.809017
Pos: x: 2.0347 y: 0.031415 z: -1.84275 | UV: x:0.854962 y: 0.900759 | Normal: x:0 y: -0.951057 z: 0.309017
Pos: x: 2.0347 y: 0.173454 z: -1.56399 | UV: x:0.864378 y: 0.900191 | Normal: x:0 y: -0.809017 z: 0.587785
Pos: x: 1.34266 y: 0.173454 z: -1.56399 | UV: x:0.866004 y: 0.938598 | Normal: x:0 y: -0.809017 z: 0.587785
Pos: x: 1.34266 y: 0.031415 z: -1.84275 | UV: x:0.855877 y: 0.939012 | Normal: x:0 y: -0.951057 z: 0.309017
Pos: x: -2.08188 y: 0.700515 z: 1.56292 | UV: x:0.881924 y: 0.890998 | Normal: x:-0.711473 y: -0.21715 z: -0.66832
Pos: x: -1.99538 y: 0.673454 z: 1.47964 | UV: x:0.88399 y: 0.897864 | Normal: x:-0.711473 y: -0.21715 z: -0.66832
Pos: x: -1.99538 y: 0.394686 z: 1.62167 | UV: x:0.874011 y: 0.89924 | Normal: x:-0.711473 y: -0.413045 z: -0.568507
Pos: x: -2.08188 y: 0.446159 z: 1.69252 | UV: x:0.872481 y: 0.892353 | Normal: x:-0.711473 y: -0.413045 z: -0.568507
Pos: x: -2.08188 y: 0.244301 z: 1.89438 | UV: x:0.863367 y: 0.893277 | Normal: x:-0.711474 y: -0.568507 z: -0.413044
Pos: x: -1.99538 y: 0.173454 z: 1.84291 | UV: x:0.864378 y: 0.900191 | Normal: x:-0.711474 y: -0.568507 z: -0.413044
Pos: x: -1.99538 y: 0.031415 z: 2.12168 | UV: x:0.854962 y: 0.900759 | Normal: x:-0.711473 y: -0.66832 z: -0.21715
Pos: x: -2.08188 y: 0.1147 z: 2.14874 | UV: x:0.854484 y: 0.893825 | Normal: x:-0.711473 y: -0.66832 z: -0.21715
Pos: x: 2.0347 y: 1.29149 z: -3.10283 | UV: x:0.786067 y: 0.89385 | Normal: x:0.711472 y: 0.217151 z: -0.668321
Pos: x: 2.12119 y: 1.26443 z: -3.01954 | UV: x:0.789448 y: 0.886963 | Normal: x:0.711473 y: 0.217151 z: -0.668321
Pos: x: 2.12119 y: 0.982471 z: -3.0642 | UV: x:0.799718 y: 0.889653 | Normal: x:0.711472 y: 0 z: -0.702714
Pos: x: 2.0347 y: 0.982471 z: -3.15177 | UV: x:0.796955 y: 0.896498 | Normal: x:0.711472 y: 0 z: -0.702714
Pos: x: 2.0347 y: -0.017529 z: -2.15177 | UV: x:0.845658 y: 0.900971 | Normal: x:0.711472 y: -0.702714 z: -0
Pos: x: 2.12119 y: 0.070043 z: -2.15177 | UV: x:0.845719 y: 0.894029 | Normal: x:0.711472 y: -0.702714 z: -0
Pos: x: 2.12119 y: 0.1147 z: -1.86982 | UV: x:0.854484 y: 0.893825 | Normal: x:0.711472 y: -0.668321 z: 0.21715
Pos: x: 2.0347 y: 0.031415 z: -1.84275 | UV: x:0.854962 y: 0.900759 | Normal: x:0.711472 y: -0.668321 z: 0.217151
Pos: x: -0.834904 y: 3.89084 z: -2.81068 | UV: x:0.496406 y: 0.246983 | Normal: x:-0.496979 y: 0.379871 z: -0.780199
Pos: x: -0.525608 y: 3.94653 z: -2.92694 | UV: x:0.475576 y: 0.248219 | Normal: x:-0.087699 y: 0.444261 z: -0.891595
Pos: x: -0.526234 y: 3.53261 z: -3.0662 | UV: x:0.476107 y: 0.217407 | Normal: x:-0.08945 y: 0.048958 z: -0.994787
Pos: x: -0.835018 y: 3.51192 z: -2.9383 | UV: x:0.496645 y: 0.221535 | Normal: x:-0.494772 y: 0.041142 z: -0.868048
Pos: x: 1.25617 y: 0.244301 z: -1.61546 | UV: x:0.865461 y: 0.945453 | Normal: x:-1 y: 0 z: 0
Pos: x: 1.25617 y: 0.446159 z: -1.4136 | UV: x:0.875541 y: 0.944844 | Normal: x:-1 y: 0 z: 0
Pos: x: 1.25617 y: 0.913815 z: -2.05728 | UV: x:0.862064 y: 0.990217 | Normal: x:-1 y: 0 z: 0
Pos: x: 1.25617 y: 0.889664 z: -2.08143 | UV: x:0.857788 y: 0.990585 | Normal: x:-1 y: 0 z: 0
Pos: x: 1.25617 y: 0.888579 z: -2.08355 | UV: x:0.857788 y: 0.990585 | Normal: x:-1 y: 0 z: 0
Pos: x: 1.25617 y: 1.72064 z: -2.68808 | UV: x:0.758273 y: 0.943651 | Normal: x:-1 y: -0 z: 0
Pos: x: 1.25617 y: 1.51878 z: -2.88994 | UV: x:0.771367 y: 0.943147 | Normal: x:-1 y: 0 z: 0
Pos: x: 1.25617 y: 1.07421 z: -2.27803 | UV: x:0.81087 y: 0.991551 | Normal: x:-1 y: 0 z: 0
Pos: x: 1.25617 y: 1.0822 z: -2.27396 | UV: x:0.81087 y: 0.991551 | Normal: x:-1 y: 0 z: 0
Pos: x: 1.25617 y: 1.111 z: -2.24516 | UV: x:0.805622 y: 0.992401 | Normal: x:-1 y: -0 z: 0
Pos: x: 1.25617 y: 0.244301 z: -1.61546 | UV: x:0.865461 y: 0.945453 | Normal: x:-0.711473 y: -0.568507 z: 0.413045
Pos: x: 1.34266 y: 0.173454 z: -1.56399 | UV: x:0.866004 y: 0.938598 | Normal: x:-0.711473 y: -0.568507 z: 0.413045
Pos: x: 1.34266 y: 0.394686 z: -1.34275 | UV: x:0.876358 y: 0.937947 | Normal: x:-0.711473 y: -0.413045 z: 0.568508
Pos: x: 1.25617 y: 0.446159 z: -1.4136 | UV: x:0.875541 y: 0.944844 | Normal: x:-0.711472 y: -0.413045 z: 0.568508
Pos: x: 1.25617 y: 1.72064 z: -2.68808 | UV: x:0.758273 y: 0.943651 | Normal: x:-0.711472 y: 0.568508 z: -0.413045
Pos: x: 1.34266 y: 1.79149 z: -2.73956 | UV: x:0.75576 y: 0.935138 | Normal: x:-0.711472 y: 0.568508 z: -0.413045
Pos: x: 1.34266 y: 1.57026 z: -2.96079 | UV: x:0.769334 y: 0.935337 | Normal: x:-0.711473 y: 0.413044 z: -0.568507
Pos: x: 1.25617 y: 1.51878 z: -2.88994 | UV: x:0.771367 y: 0.943147 | Normal: x:-0.711473 y: 0.413044 z: -0.568507
Pos: x: 1.25617 y: 1.13227 z: -2.20504 | UV: x:0.647433 y: 0.523547 | Normal: x:0 y: 0.951057 z: -0.309015
Pos: x: 0.968015 y: 1.13227 z: -2.20504 | UV: x:0.60363 y: 0.554126 | Normal: x:0 y: 0.951057 z: -0.309015
Pos: x: 0.968015 y: 1.13902 z: -2.16245 | UV: x:0.599023 y: 0.547526 | Normal: x:0 y: 1 z: 1e-06
Pos: x: 1.25617 y: 1.13902 z: -2.16245 | UV: x:0.642826 y: 0.516947 | Normal: x:0 y: 1 z: 1e-06
Pos: x: 1.25617 y: 1.13296 z: -2.20067 | UV: x:0.647433 y: 0.523547 | Normal: x:0 y: 0.987689 z: -0.156429
Pos: x: 1.25617 y: 1.00118 z: -2.02461 | UV: x:0.618008 y: 0.481398 | Normal: x:0 y: 0 z: 1
Pos: x: 0.968015 y: 1.00118 z: -2.02461 | UV: x:0.574205 y: 0.511977 | Normal: x:0 y: 0 z: 1
Pos: x: 0.968015 y: 0.958583 z: -2.03135 | UV: x:0.569267 y: 0.504903 | Normal: x:0 y: -0.309017 z: 0.951057
Pos: x: 1.25617 y: 0.958583 z: -2.03135 | UV: x:0.613069 y: 0.474324 | Normal: x:0 y: -0.309017 z: 0.951057
Pos: x: 1.25617 y: 0.982471 z: -2.02757 | UV: x:0.618008 y: 0.481398 | Normal: x:0 y: -0.156434 z: 0.987688
Pos: x: 2.12119 y: 0.700516 z: -3.01954 | UV: x:0.809544 y: 0.89155 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -3.0642 | UV: x:0.799718 y: 0.889653 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -2.15177 | UV: x:0.846229 y: 0.836979 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.070043 z: -2.15177 | UV: x:0.845719 y: 0.894029 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.1147 z: -2.43373 | UV: x:0.836958 y: 0.894 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -2.15177 | UV: x:0.846229 y: 0.836979 | Normal: x:1 y: 0 z: 0
Pos: x: -0.522792 y: 1.52867 z: -1.57392 | UV: x:0.631454 y: 0.141846 | Normal: x:-0.127267 y: -1e-06 z: 0.991869
Pos: x: -0.522802 y: 3.05485 z: -1.57392 | UV: x:0.604636 y: 0.224263 | Normal: x:-0.105927 y: -0.126098 z: 0.986346
Pos: x: -0.837597 y: 3.08054 z: -1.70431 | UV: x:0.583375 y: 0.221952 | Normal: x:-0.540477 y: -0.101388 z: 0.835228
Pos: x: -0.837588 y: 1.30015 z: -1.70431 | UV: x:0.622482 y: 0.117424 | Normal: x:-0.591645 y: -4e-06 z: 0.806198
Pos: x: 1.25617 y: 1.13902 z: -2.16245 | UV: x:0.642826 y: 0.516947 | Normal: x:0 y: 1 z: 1e-06
Pos: x: 0.968015 y: 1.13902 z: -2.16245 | UV: x:0.599023 y: 0.547526 | Normal: x:0 y: 1 z: 1e-06
Pos: x: 0.968015 y: 1.13227 z: -2.11985 | UV: x:0.594019 y: 0.540359 | Normal: x:0 y: 0.951057 z: 0.309015
Pos: x: 1.25617 y: 1.13227 z: -2.11985 | UV: x:0.637822 y: 0.50978 | Normal: x:0 y: 0.951057 z: 0.309015
Pos: x: 1.25617 y: 1.13733 z: -2.15177 | UV: x:0.642826 y: 0.516947 | Normal: x:0 y: 0.987689 z: 0.156432
Pos: x: 1.25617 y: 1.04377 z: -2.03135 | UV: x:0.623087 y: 0.488674 | Normal: x:-0 y: 0.309017 z: 0.951057
Pos: x: 0.968015 y: 1.04377 z: -2.03135 | UV: x:0.579285 y: 0.519253 | Normal: x:-0 y: 0.309017 z: 0.951057
Pos: x: 0.968015 y: 1.00118 z: -2.02461 | UV: x:0.574205 y: 0.511977 | Normal: x:0 y: 0 z: 1
Pos: x: 1.25617 y: 1.00118 z: -2.02461 | UV: x:0.618008 y: 0.481398 | Normal: x:0 y: 0 z: 1
Pos: x: 1.25617 y: 1.02268 z: -2.02801 | UV: x:0.623087 y: 0.488674 | Normal: x:-0 y: 0.156434 z: 0.987688
Pos: x: -0.855492 y: 4.31621 z: -2.53378 | UV: x:0.504708 y: 0.278515 | Normal: x:-0.505952 y: 0.52321 z: -0.685758
Pos: x: -0.834904 y: 3.89084 z: -2.81068 | UV: x:0.496406 y: 0.246983 | Normal: x:-0.496979 y: 0.379871 z: -0.780199
Pos: x: -0.968015 y: 3.833 z: -2.68995 | UV: x:0.508107 y: 0.246069 | Normal: x:-0.710218 y: 0.303383 z: -0.635256
Pos: x: -0.986771 y: 4.22979 z: -2.43063 | UV: x:0.515529 y: 0.274943 | Normal: x:-0.714065 y: 0.422557 z: -0.558172
Pos: x: 1.25617 y: 1.13227 z: -2.11985 | UV: x:0.637822 y: 0.50978 | Normal: x:0 y: 0.951057 z: 0.309015
Pos: x: 0.968015 y: 1.13227 z: -2.11985 | UV: x:0.594019 y: 0.540359 | Normal: x:0 y: 0.951057 z: 0.309015
Pos: x: 0.968015 y: 1.11269 z: -2.08143 | UV: x:0.589333 y: 0.533646 | Normal: x:-0 y: 0.809017 z: 0.587785
Pos: x: 1.25617 y: 1.11269 z: -2.08143 | UV: x:0.633136 y: 0.503067 | Normal: x:-0 y: 0.809017 z: 0.587785
Pos: x: 1.25617 y: 1.12495 z: -2.10548 | UV: x:0.637822 y: 0.50978 | Normal: x:0 y: 0.891007 z: 0.45399
Pos: x: 1.25617 y: 1.0822 z: -2.05093 | UV: x:0.627845 y: 0.495489 | Normal: x:-1e-06 y: 0.587785 z: 0.809017
Pos: x: 0.968015 y: 1.0822 z: -2.05093 | UV: x:0.584043 y: 0.526068 | Normal: x:-1e-06 y: 0.587785 z: 0.809017
Pos: x: 0.968015 y: 1.04377 z: -2.03135 | UV: x:0.579285 y: 0.519253 | Normal: x:-0 y: 0.309017 z: 0.951057
Pos: x: 1.25617 y: 1.04377 z: -2.03135 | UV: x:0.623087 y: 0.488674 | Normal: x:-0 y: 0.309017 z: 0.951057
Pos: x: 1.25617 y: 1.06289 z: -2.04109 | UV: x:0.627845 y: 0.495489 | Normal: x:-0 y: 0.45399 z: 0.891007
Pos: x: 2.12119 y: 0.1147 z: -1.86982 | UV: x:0.854484 y: 0.893825 | Normal: x:1 y: -0 z: 0
